VALUE1,VALUE2,VALUE3,CLASS
0.18464736,0.412244362,0.74157314,0
0.879837215,0.677270189,0.36207116,1
0.706584587,0.011386754,0.308172244,1
0.603635593,0.801670436,0.533582675,0
0.58994311,0.683877581,0.929260875,0
0.787388697,0.135497141,0.239184246,1
0.616603585,0.78798428,0.819588449,0
0.665820175,0.113072165,0.373375974,1
0.296139408,0.269011425,0.316216876,0
0.168128644,0.160066024,0.50207236,0
0.35475424,0.012492667,0.46111969,0
0.872309906,0.16060755,0.427321392,1
0.859156985,0.079276923,0.962219449,1
0.945938348,0.781814362,0.736307089,0
0.636950386,0.145766168,0.410141767,1
0.810852579,0.559926496,0.147507532,1
0.440099765,0.486293699,0.361030464,0
0.645914373,0.578233631,0.300506483,1
0.12230693,0.273800975,0.984552832,0
0.018260763,0.446745014,0.156227555,0
0.351976603,0.346316231,0.729311486,0
0.490945691,0.361213635,0.021012643,1
0.427364786,0.39025576,0.857494685,0
0.381522078,0.188725597,0.850096433,0
0.884903361,0.054412186,0.721661182,1
0.743972787,0.011008468,0.69080418,1
0.754772767,0.752213585,0.923363244,0
0.643576066,0.364257921,0.381682059,1
0.197593412,0.749773203,0.551924183,0
0.467787842,0.168144706,0.367544264,1
0.909217496,0.795262317,0.744301754,0
0.375632191,0.702908429,0.0149562,0
0.5579776,0.481577707,0.369060793,0
0.16633277,0.01413375,0.174444788,0
0.579643656,0.13937943,0.858176182,0
0.48147543,0.352026712,0.26553546,0
0.768579233,0.144657288,0.349828594,1
0.924163476,0.087207498,0.587453869,1
0.504947251,0.712725404,0.933217445,0
0.755901362,0.596325618,0.398879723,1
0.755999641,0.994198146,0.191982046,0
0.541935654,0.690118413,0.157280812,0
0.591622742,0.80588409,0.395464053,0
0.471206259,0.390835521,0.897862949,0
0.832269395,0.889990628,0.533879259,0
0.888136596,0.780052936,0.716559075,0
0.44391897,0.649941186,0.612255647,0
0.709997609,0.61954395,0.177466385,1
0.600571182,0.585271772,0.044548491,1
0.400969624,0.670222007,0.068347196,0
0.81707137,0.132219086,0.393668299,1
0.754970405,0.966245021,0.325164822,0
0.667312174,0.236235041,0.519080664,0
0.024090669,0.441167937,0.900088671,0
0.982118632,0.740698527,0.993595939,0
0.684392686,0.481301303,0.644552487,0
0.525629029,0.212537445,0.46035239,0
0.559525613,0.443493484,0.379386732,0
0.529972454,0.181380946,0.267982897,1
0.999070381,0.140609264,0.314027771,1
0.813549005,0.152035493,0.504973838,1
0.967921795,0.698887324,0.3970215,1
0.566656161,0.779737268,0.460136058,0
0.98626515,0.68652904,0.864935907,0
0.927426167,0.745586164,0.100569751,1
0.359202142,0.363600859,0.676622213,0
0.984221711,0.784397278,0.778544735,0
0.613437907,0.715601374,0.813033065,0
0.629816104,0.976950023,0.656255624,0
0.049309369,0.76943154,0.918719296,0
0.208952891,0.29062332,0.8762539,0
0.985333302,0.977216435,0.153810392,1
0.077894574,0.837643693,0.293989427,0
0.440383336,0.467189198,0.888171177,0
0.671177875,0.02896795,0.696112293,1
0.627780474,0.559435229,0.961799188,0
0.087785474,0.231286872,0.919217512,0
0.047172561,0.256860369,0.165389737,0
0.010580014,0.318277998,0.812799717,0
0.769316988,0.453067478,0.280148518,1
0.818799271,0.863630069,0.345690528,0
0.631539251,0.376640756,0.277875003,1
0.317673221,0.133631467,0.865849991,0
0.260677997,0.766969738,0.044099965,0
0.339855807,0.014478223,0.342572368,0
0.426688497,0.50974394,0.140423573,0
0.536886619,0.753044806,0.254708662,0
0.85609355,0.232166018,0.256636821,1
0.169934524,0.720751986,0.063623853,0
0.147244075,0.715774666,0.549916508,0
0.770014945,0.967998479,0.241000393,0
0.807386048,0.794569675,0.278777023,0
0.635387345,0.844428743,0.519239934,0
0.711882863,0.612754025,0.848654989,0
0.41765653,0.613725838,0.968442649,0
0.202102963,0.647500006,0.627464551,0
0.258943102,0.468151278,0.314922729,0
0.96600027,0.928359879,0.789459532,0
0.962121365,0.873612971,0.888654681,0
0.63172112,0.776677778,0.551434309,0
0.059531815,0.127370683,0.463172183,0
0.449634461,0.437581121,0.786647248,0
0.165869777,0.368706603,0.599584919,0
0.815492652,0.062682231,0.145525774,1
0.373193306,0.868327043,0.18719594,0
0.220643805,0.748078356,0.466496455,0
0.235796762,0.566558364,0.069604957,0
0.658320834,0.973854115,0.330948133,0
0.374862566,0.971294936,0.337538633,0
0.083447703,0.340626811,0.425536192,0
0.047947351,0.441615963,0.207582189,0
0.112060063,0.795982152,0.729753823,0
0.901456237,0.401554177,0.782747935,1
0.459694465,0.910452941,0.937419406,0
0.281096785,0.908984155,0.045426266,0
0.698615031,0.508408446,0.868153191,0
0.328553673,0.16538505,0.781732481,0
0.359452705,0.584982182,0.294366855,0
0.389382334,0.76678,0.971163768,0
0.561682985,0.347924111,0.865580351,0
0.508175302,0.037210106,0.788869498,0
0.990288256,0.254661732,0.734448392,1
0.614865883,0.32253379,0.243369622,1
0.195314186,0.756607188,0.655065823,0
0.380985412,0.333651528,0.317115665,0
0.848678862,0.600731716,0.018028787,1
0.106961898,0.463883062,0.825332777,0
0.866348141,0.353687805,0.708237149,1
0.605475381,0.218096427,0.600158109,0
0.271914756,0.715504856,0.257404927,0
0.992514385,0.978208468,0.145213844,1
0.182237884,0.057691209,0.301341357,0
0.958146699,0.760754991,0.817463381,0
0.262043496,0.683196026,0.127815084,0
0.168498952,0.216959165,0.617869662,0
0.056055751,0.411321947,0.627824973,0
0.472365361,0.981937149,0.681489119,0
0.768879743,0.665420267,0.630768056,0
0.984161379,0.536520467,0.984213917,1
0.568189225,0.33595406,0.542992152,0
0.785677745,0.008994238,0.936591057,1
0.399312921,0.612728606,0.344617695,0
0.135029106,0.537583092,0.285919909,0
0.836420963,0.130568029,0.846222753,1
0.596540399,0.680600592,0.587541534,0
0.534805412,0.153406379,0.420431879,0
0.391598901,0.403489647,0.916233485,0
0.7009346,0.72862575,0.161861068,1
0.184989107,0.889652002,0.323788575,0
0.84432764,0.381308565,0.473124896,1
0.050731867,0.483037334,0.954280295,0
0.00356818,0.893996664,0.74296852,0
0.631184309,0.207909873,0.607616742,0
0.87689783,0.011735477,0.091450853,1
0.216286843,0.565275851,0.104260657,0
0.071126063,0.828533641,0.492685541,0
0.64237628,0.31040226,0.633179253,0
0.42615514,0.526045278,0.805930362,0
0.204027317,0.194235622,0.923900017,0
0.394698613,0.511078763,0.772095349,0
0.272224357,0.564312125,0.445470812,0
0.15255527,0.461334592,0.023679407,0
0.632614167,0.200546796,0.766680306,0
0.764888055,0.793474031,0.69482296,0
0.846370335,0.395273528,0.329570515,1
0.139950043,0.196170083,0.81427402,0
0.894161967,0.972555688,0.519396305,0
0.075095196,0.319261431,0.794553069,0
0.225255754,0.12605794,0.005534552,0
0.304915414,0.935775943,0.816338031,0
0.666028114,0.609104661,0.542623255,0
0.487593683,0.340610961,0.831121573,0
0.814717048,0.282099299,0.758768448,1
0.180956775,0.582041386,0.66942629,0
0.388296193,0.238906192,0.618580082,0
0.594266184,0.005486113,0.010526482,1
0.027691912,0.378868712,0.335038202,0
0.348995145,0.843509504,0.368549045,0
0.271087767,0.293162424,0.791812568,0
0.351160868,0.297591456,0.854833359,0
0.850754523,0.53925675,0.483596439,1
0.26019955,0.493240192,0.78591884,0
0.46203405,0.619246736,0.746711502,0
0.615402399,0.176929871,0.102845624,1
0.652432658,0.567196255,0.96744919,0
0.801225275,0.844514268,0.907654375,0
0.918012955,0.67969323,0.018738658,1
0.820076556,0.692742084,0.779176772,0
0.736792449,0.66195198,0.298737655,1
0.046640267,0.654453191,0.088604674,0
0.067608327,0.936400327,0.700824571,0
0.610498367,0.299793324,0.186020986,1
0.329480925,0.159763019,0.247837733,0
0.31343396,0.276428147,0.493784457,0
0.555533609,0.038857508,0.601136545,1
0.370128812,0.833338643,0.103316125,0
0.102560391,0.393045391,0.953646128,0
0.755608914,0.350602033,0.547051028,1
0.140616973,0.487061391,0.467264244,0
0.957615742,0.486119304,0.913442398,0
0.031210279,0.427129033,0.021553157,0
0.665789994,0.833059494,0.608432321,0
0.50444129,0.933210692,0.800067473,0
0.734368654,0.765646206,0.590919788,0
0.481236734,0.732562698,0.673176867,0
0.871167852,0.330542265,0.101507902,1
0.876384785,0.585452093,0.115862742,1
0.250671692,0.095221215,0.315074868,0
0.906305592,0.401741532,0.387034798,1
0.01407028,0.070448974,0.622356498,0
0.244991036,0.721749776,0.522832123,0
0.927695894,0.41475489,0.847975446,1
0.283481089,0.716942592,0.598568256,0
0.673556898,0.5768096,0.432473498,0
0.960324649,0.83686811,0.343084316,1
0.586110491,0.762503636,0.326012006,0
0.812251217,0.241674555,0.858984072,1
0.537323538,0.085073066,0.428799002,1
0.516786469,0.358800352,0.193079284,0
0.927836546,0.269942296,0.462129776,1
0.42306537,0.720584193,0.394026194,0
0.199748329,0.771427705,0.026493324,0
0.949935428,0.753930418,0.98525492,0
0.605749306,0.225553145,0.439558755,1
0.39333786,0.33690038,0.186241491,0
0.75455621,0.917193596,0.643817438,0
0.440680133,0.603511343,0.284260311,0
0.782838638,0.257463417,0.584443514,1
0.491082497,0.507812466,0.347119992,0
0.926618905,0.922231587,0.731019002,0
0.328690639,0.213372357,0.708404679,0
0.76796437,0.470090954,0.843525135,0
0.271455683,0.456501183,0.634237328,0
0.052178241,0.192166872,0.478185572,0
0.697265514,0.74830364,0.617323874,0
0.324215792,0.422648851,0.923321194,0
0.487112726,0.084397602,0.128078416,1
0.375978041,0.554873103,0.089095093,0
0.796193184,0.777348684,0.450253368,0
0.91353843,0.238358224,0.786971358,1
0.112336593,0.722096302,0.664139474,0
0.184736952,0.309344974,0.345047525,0
0.304851027,0.725969281,0.69055211,0
0.838249943,0.47636009,0.629298301,1
0.899899431,0.2348519,0.034735785,1
0.679812536,0.959658323,0.030686217,0
0.570419018,0.741856067,0.371035845,0
0.995121878,0.570873138,0.800845387,1
0.766142804,0.643091474,0.383433606,1
0.218858724,0.659944004,0.075670077,0
0.123187125,0.505945921,0.618588179,0
0.310760382,0.439911263,0.385577059,0
0.813501681,0.89555295,0.100304719,1
0.240413583,0.535269509,0.881052203,0
0.333863498,0.196004687,0.897413686,0
0.509715019,0.287842402,0.658515274,0
0.98126296,0.850449808,0.974069794,0
0.002882589,0.282262886,0.536216951,0
0.785932399,0.727209046,0.961733994,0
0.217345009,0.966877524,0.296071039,0
0.489656391,0.991274444,0.947985777,0
0.503096288,0.575489181,0.528310729,0
0.323786566,0.469873321,0.321651354,0
0.201610748,0.593157854,0.953278927,0
0.793305424,0.027759657,0.216471824,1
0.51315865,0.541925491,0.479719983,0
0.845307427,0.887574249,0.946620052,0
0.604872568,0.366231152,0.774459224,0
0.82186906,0.079784648,0.156327366,1
0.683431659,0.222168705,0.715078763,0
0.304741904,0.234816435,0.275735042,0
0.801937042,0.951185259,0.173912457,0
